Component Name;Application;Category;Type;Database;LCI-ID;Lambda;R-Value;U-Value;Min Density;Max Density;Functional Unit;Type of Assembly;Material;Waste Category;Landfill;Incineration;Reuse;Recycling;Sorted on Building Site
Kingspan | Sandwich panel | Gypsum board - chipboard - OSB - EPS graphite | Excluding fixations;Flat roof | Slab;Sandwich panel;Specific component (EPD);Ecoinvent 3.6;EPD10026-1;0.031;5.4839;;16.4;16.4;sqm;Unknown, depends on the construction method;EPS;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Sandwich panel | Gypsum board - chipboard - OSB - EPS graphite | Excluding fixations;Pitched roof | Slab;Sandwich panel;Specific component (EPD);Ecoinvent 3.6;EPD10025-1;0.031;5.9677;;16.4;16.4;sqm;Unknown, depends on the construction method;EPS;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Sandwich panel | Gypsum board - chipboard - EPS graphite | Excluding fixations;Pitched roof | Slab;Sandwich panel;Specific component (EPD);Ecoinvent 3.6;EPD10021-1;0.031;4.7097;;16.4;16.4;sqm;Unknown, depends on the construction method;EPS;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Sandwich panel | Gypsum board - chipboard - EPS graphite | Excluding fixations | Certified;Pitched roof | Slab;Sandwich panel;Specific component (EPD);Ecoinvent 3.6;EPD10022-1;0.031;4.7097;;16.4;16.4;sqm;Unknown, depends on the construction method;EPS;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Sandwich panel | Gypsum board - chipboard - EPS graphite | Excluding fixations;Pitched roof | Slab;Sandwich panel;Specific component (EPD);Ecoinvent 3.6;EPD10024-1;0.037;5;;12.8;12.8;sqm;Unknown, depends on the construction method;EPS;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Sandwich panel | Gypsum fibre board - chipboard - EPS graphite | Excluding fixations;Pitched roof | Slab;Sandwich panel;Specific component (EPD);Ecoinvent 3.6;EPD10023-1;0.031;4.8065;;16.4;16.4;sqm;Unknown, depends on the construction method;EPS;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Sandwich panel | Gypsum fibre board - chipboard - EPS graphite | Excluding fixations;Pitched roof | Slab;Sandwich panel;Specific component (EPD);Ecoinvent 3.6;EPD10027-1;0.031;7.0323;;16.4;16.4;sqm;Unknown, depends on the construction method;EPS;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Board | EPS graphite | Excluding fixations;Roof finish | Thermal insulation - inclined surfaces;Sandwich panel;Specific component (EPD);Ecoinvent 3.6;EPD10028-1;0.031;4.5161;;16.4;16.4;sqm;Unknown, depends on the construction method;EPS;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Board | Resol - glass fibre facer | Excluding fixations;Ceiling finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD10016-1;0.021;3.3333;;35;35;sqm;Unknown, depends on the construction method;Resol;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Board | Resol - aluminium facer | For between timber or steel frame;External wall - loadbearing | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD10019-1;0.021;3.8095;;35;35;sqm;Unknown, depends on the construction method;Resol;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Board | Resol - glass fibre facer | Excluding fixations | For concrete sandwich panel;External wall - loadbearing | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD10017-1;0.021;3.3333;;35;35;sqm;Unknown, depends on the construction method;Resol;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Board | Resol - glass fibre facer | Upon floor slab;Floor finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD10015-1;0.021;3.3333;;35;35;sqm;Loose laid;Resol;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Board | Resol - aluminium facer | Excluding fixations | For ventilated facade;Wall - external finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD10020-1;0.021;3.8095;;35;35;sqm;Unknown, depends on the construction method;Resol;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Board | Resol - aluminium facer | For cavity wall | Ties and clips to be added;Wall - external finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD10014-1;0.021;3.8095;;35;35;sqm;Unknown, depends on the construction method;Resol;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
Kingspan | Board | Resol - glass fibre facer | Excluding fixations | To be plastered;Wall - external finish | Thermal insulation;Insulation;Specific component (EPD);Ecoinvent 3.6;EPD10018-1;0.021;3.8095;;35;35;sqm;Unknown, depends on the construction method;Resol;Synthetic insulation materials;0.05;0.95;0.0;0.0;Not available
P.M.W. | Rigid tiles | Blue stone | Laid in lime mortar;Floor finish | Cladding;Rigid flooring;Specific component (EPD);Ecoinvent 3.6;EPD448-1;2.3;0.0087;;2687;2687;sqm;Fixed with lime mortar (Rjoint = Rmat);Blue stone;Other stony waste;0.02;0.38;0.6;0.0;Not available
P.M.W. | Rigid tiles | Blue stone | Laid in lime mortar;Wall - internal finish | Cladding;Rigid flooring;Specific component (EPD);Ecoinvent 3.6;EPD448-2;2.3;0.0087;;2687;2687;sqm;Fixed with lime mortar (Rjoint = Rmat);Blue stone;Other stony waste;0.02;0.38;0.6;0.0;Not available
Derbigum | Proofing sheet | Polymer bitumen | Toplayer | Welded;Roof finish | Cladding - horizontal surfaces;Roofs/Walls cladding (exterior);Specific component (EPD);Ecoinvent 3.6;EPD457-1;0.23;0.0174;;1126;1126;sqm;Unknown, depends on the construction method;Bitumen;Bitumen;0.05;0.0;0.0;0.95;Not available
Derbigum | Proofing sheet | Polymer bitumen | Sublayer | Excluding fixations;Roof finish | Cladding - horizontal surfaces;Roofs/Walls cladding (exterior);Specific component (EPD);Ecoinvent 3.6;EPD418-1;0.23;0.0109;;1.225;1.225;sqm;Unknown, depends on the construction method;Bitumen;Bitumen;0.05;0.0;0.0;0.95;Not available
Interalu | Suspended climate ceiling | Metals - Plastics - Stone wool | Type WEC;Central heating and cooling with water | Emission;Heating and cooling emission;Specific component (EPD);Ecoinvent 3.6;EPD10013-1;;;;;;sqm;Anchored;Steel;Metals;0.05;0.0;0.0;0.95;Not available
Interalu | Suspended climate ceiling | Metals - Plastics - Stone wool | Type WEC;Central heating and cooling with water | Emission;Heating and cooling emission;Specific component (EPD);Ecoinvent 3.6;EPD10013-1;;;;;;sqm;Anchored;plastic;Polyolefins (PP, PE);0.1;0.85;0.0;0.05;Not available
Interalu | Suspended climate ceiling | Metals - Plastics - Stone wool | Type WEC;Central heating and cooling with water | Emission;Heating and cooling emission;Specific component (EPD);Ecoinvent 3.6;EPD10013-1;;;;;;sqm;Anchored;stone wool;Mineral insulation materials;0.5;0.5;0.0;0.0;Not available
Board | Wood fibre (6 mm) | Upon floor slab | Loose laid;Floor finish | Acoustic insulation;Insulation;Generic component;Ecoinvent 3.6;WS1838;0.07;0.09;;;;sqm;Loose laid;Softboard;Composite wood products;0.0;0.95;0.0;0.05;0.4
Board | XPS (5 mm) | Upon floor slab | Loose laid;Floor finish | Acoustic insulation;Insulation;Generic component;Ecoinvent 3.6;WS1837;0.034;0.15;;;;sqm;Loose laid;Extruded polystyrene;Synthetic insulation materials;0.05;0.95;0.0;0.0;0.0
Profiles | Softwood (900x2050 mm) | Varnished | For wall thickness 160 mm;Internal door | Door frame;Frame and panel (door and window);Generic component;Ecoinvent 3.6;WS1844;;;;;;piece;Screwed (screws not modelled);Softwood;Untreated, uncontaminated wood;0.0;0.25;0.0;0.75;0.4
Profiles | Softwood (900x2050 mm) | Varnished | For wall thickness 160 mm;Internal door | Door frame;Frame and panel (door and window);Generic component;Ecoinvent 3.6;WS1844;;;;;;piece;Screwed (screws not modelled);Acrylic varnish;Finishing layer fixed to wood, plastic or metal;0.0;1.0;0.0;0.0;0.0
Panel | Softwood (900x2050 mm - t = 40 mm) | Varnished;Internal door | Frame filling;Frame and panel (door and window);Generic component;Ecoinvent 3.6;WS1845;;;5.99;;;piece;Hinged (hinges not modelled);Softwood;Surface treated, solid wood;0.0;0.85;0.0;0.15;0.4
Panel | Natural stone (w = 220 mm - t = 25 mm) | Glued | Native;External window | Internal sill;Lintel and sill;Generic component;Ecoinvent 3.6;WS1836;;;;;;m;Glued;Natural stone;Other stony waste;0.05;0.0;0.0;0.95;0.75
Panel | Natural stone (w = 220 mm - t = 25 mm) | Glued | Native;External window | Internal sill;Lintel and sill;Generic component;Ecoinvent 3.6;WS1836;;;;;;m;Glued;Powder tile adhesive;Other stony waste;0.05;0.0;0.0;0.95;0.75
Panel | Natural stone (w = 220 mm - t = 25 mm) | Glued | Native;External window | Internal sill;Lintel and sill;Generic component;Ecoinvent 3.6;WS1836;;;;;;m;Glued;Tap water;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
Belgian Brick Association | Paving stones | Fired clay;Ground surface treatment | Surfacing;Ground surface treatment;Specific component (EPD);Ecoinvent 3.6;EPD307-2;;;;1040;2100;kg;Unknown, depends on the construction method;Ceramic bricks;Bricks, roof tiles;0.05;0.0;0.0;0.95;Not available
Belgian Brick Association | Bricks | Fired clay;Wall - external finish | Cladding;Masonry element (solid);Specific component (EPD);Ecoinvent 3.6;EPD307-3;;;;1040;2100;kg;Unknown, depends on the construction method;Ceramic bricks;Bricks, roof tiles;0.05;0.0;0.0;0.95;Not available
Belgian Brick Association | Hollow bricks | Fired clay;Internal wall - loadbearing | Primary part;Masonry element (solid);Specific component (EPD);Ecoinvent 3.6;EPD333-1;;;;850;1150;kg;Unknown, depends on the construction method;Ceramic blocks;Bricks, roof tiles;0.05;0.0;0.0;0.95;Not available
Belgian Brick Association | Hollow bricks | Fired clay;External wall - loadbearing | Primary part;Masonry element (solid);Specific component (EPD);Ecoinvent 3.6;EPD333-2;;;;850;1150;kg;Unknown, depends on the construction method;Ceramic blocks;Bricks, roof tiles;0.05;0.0;0.0;0.95;Not available
P.M.W. | Rubble stones | Sandstone;Wall - external finish | Cladding;Masonry element (solid);Specific component (EPD);Ecoinvent 3.6;EPD340-1;2.3;0.0565;;2620;2620;sqm;Fixed with lime mortar (Rjoint = Rmat);Sandstone;Other stony waste;0.05;0.0;0.0;0.95;Not available
