Element Name;Layer;Composition;Ratio;Component Name;Application;Lifetime;Thickness
FoG_Blocks_Hempcrete_LIB_New_01;C11;a;1;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01
FoG_Blocks_Hempcrete_LIB_New_01;C10;a;1;Screed | Cement (80 mm);Floor finish | Support structure;60;0.08
FoG_Blocks_Hempcrete_LIB_New_01;C9;a;1;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002
FoG_Blocks_Hempcrete_LIB_New_01;C8;a;1;Blocks | Hempcrete (600x150x300 mm) | Glued;Floor bed | Slab;50;0.15
FoG_Blocks_Hempcrete_LIB_New_01;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Blocks_Hempcrete_LIB_New_01;C6;a;1;Loose filling | Stabilised sand (0.05 m³);Floor bed | Leveling layer;60;0.05
FoG_Blocks_Hempcrete_LIB_New_01;C5;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Blocks_Hempcrete_LIB_New_01;C4;a;1;Loose filling | Expanded clay (0.35 m³);Floor bed | Leveling layer;60;0.35
FoG_Blocks_Hempcrete_LIB_New_01;C3;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
FoG_Blocks_Hempcrete_LIB_New_01;C2;a;1;Loose filling | Compacted sand (0.1 m³) | By machine;Floor bed | Leveling layer;60;0.1
FoG_Blocks_Hempcrete_LIB_New_01;C1;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C10;a;1;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C9;a;1;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C8;a;1;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C7;a;1;Screed | Trass-lime mortar (30 mm);Floor finish | Support structure;60;0.03
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C6;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C5;a;1;Cast in situ | Expanded clay grains - Trass-lime mortar (0.16 m³);Floor bed | Slab;60;0.16
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C4;a;1;Loose filling | Expanded clay (0.32 m³);Floor bed | Leveling layer;60;0.32
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C3;a;1;Loose filling | Gravel (0.1 m³);Floor bed | Leveling layer;60;0.1
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C2;a;1;Leveling process | Soil (m²) | Manual;Floor bed | Leveling;60;1
FoG_Cast in situ_Expanded clay grains_LIB_New_01;C1;a;1;Excavation process | Soil (0.3 m³) | By machine | Without transport;Floor bed | Excavation;60;0.3
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C12;a;1;Soft tiles | Cork (4 mm) | Glued;Floor finish | Cladding;15;0.004
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C11;a;1;Screed | Cement (50 mm);Floor finish | Support structure;60;0.05
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C10;a;1;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C9;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C8;a;1;Board | Resol (80 mm) | Upon floor slab;Floor finish | Thermal insulation;60;0.08
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C7;a;1;Proofing sheet | PE (0.2 mm) | Loose laid with overlap;Floor bed | Water barrier;60;0.0002
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C6;a;1;Cast in situ | Fibre reinforced concrete (250 mm);Floor bed | Slab;60;0.25
FoG_Cast in situ_Fibre reinforced concrete_LIB_New_01;C5;a;1;Proofing sheet | PP (0.8 mm);Floor bed | Geotextile;60;0.0008
