Element Name;Layer;Composition;Ratio;Component Name;Application;Lifetime;Thickness;Category;Type;Database;LCI-ID;Lambda;R-Value;U-Value;Functional Unit;Material;Waste Category;Landfill;Incineration;Reuse;Recycling;Sorted on Building Site
FoG_Blocks_Hempcrete_LIB_New_01;C11;a;1.0;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01;Rigid flooring;Generic component;Ecoinvent 3.6;WS12;0.81;0.01;;sqm;Glazed ceramic tiles;Other stony waste;0.05;0.0;0.0;0.95;0.75
FoG_Blocks_Hempcrete_LIB_New_01;C11;a;1.0;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01;Rigid flooring;Generic component;Ecoinvent 3.6;WS12;0.81;0.01;;sqm;Cement mortar joints;Other stony waste;0.05;0.0;0.0;0.95;0.75
FoG_Blocks_Hempcrete_LIB_New_01;C11;a;1.0;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01;Rigid flooring;Generic component;Ecoinvent 3.6;WS12;0.81;0.01;;sqm;Tap water;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Blocks_Hempcrete_LIB_New_01;C11;a;1.0;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01;Rigid flooring;Generic component;Ecoinvent 3.6;WS12;0.81;0.01;;sqm;Powder tile adhesive;Other stony waste;0.05;0.0;0.0;0.95;0.75
FoG_Blocks_Hempcrete_LIB_New_01;C11;a;1.0;Rigid tiles | Glazed ceramic (300x300x10 mm) | Glued;Floor finish | Cladding;60;0.01;Rigid flooring;Generic component;Ecoinvent 3.6;WS12;0.81;0.01;;sqm;Tap water;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
FoG_Blocks_Hempcrete_LIB_New_01;C10;a;1.0;Screed | Cement (80 mm);Floor finish | Support structure;60;0.08;;;;;;;;;;;;;;;
FoG_Blocks_Hempcrete_LIB_New_01;C9;a;1.0;Mesh | Reinforcement steel (50x50 Ø 2 mm) | To be combined with screed;Floor finish | Support structure;60;0.002;Reinforcement steel;Generic component;Ecoinvent 3.6;WS26;;;;sqm;Reinforcement net;Metals;0.05;0.0;0.0;0.95;0.85
FoG_Blocks_Hempcrete_LIB_New_01;C8;a;1.0;Blocks | Hempcrete (600x150x300 mm) | Glued;Floor bed | Slab;50;0.15;Insulation;Generic component;Ecoinvent 3.6;WS1723;0.074;2.03;;sqm;Hempcrete block;Non-combustible remaining waste;1.0;0.0;0.0;0.0;0.75
FoG_Blocks_Hempcrete_LIB_New_01;C8;a;1.0;Blocks | Hempcrete (600x150x300 mm) | Glued;Floor bed | Slab;50;0.15;Insulation;Generic component;Ecoinvent 3.6;WS1723;0.074;2.03;;sqm;Adhesive mortar;Non-combustible remaining waste;1.0;0.0;0.0;0.0;0.75
FoG_Blocks_Hempcrete_LIB_New_01;C8;a;1.0;Blocks | Hempcrete (600x150x300 mm) | Glued;Floor bed | Slab;50;0.15;Insulation;Generic component;Ecoinvent 3.6;WS1723;0.074;2.03;;sqm;Tap water;No impact end-of-life;0.0;0.0;0.0;0.0;0.0
